2026-08-11 16:05:37 | SUCCESS | app.ingestion.extractors.mistral_extractor:__init__:56 | Mistral OCR initialized.
2026-08-11 16:05:37 | INFO | app.ingestion.loader:load:78 | Loading 'sample.pdf' using MistralExtractor
2026-08-11 16:05:37 | INFO | app.ingestion.extractors.mistral_extractor:extract:126 | Uploading sample.pdf...
2026-08-11 16:46:20 | SUCCESS | app.ingestion.extractors.mistral_extractor:__init__:56 | Mistral OCR initialized.
2026-08-11 16:46:20 | INFO | app.ingestion.loader:load:78 | Loading 'sample.pdf' using MistralExtractor
2026-08-11 16:46:20 | INFO | app.ingestion.extractors.mistral_extractor:extract:126 | Uploading sample.pdf...
2026-08-11 17:06:19 | SUCCESS | app.ingestion.extractors.mistral_extractor:__init__:56 | Mistral OCR initialized.
2026-08-11 17:06:19 | INFO | app.ingestion.loader:load:78 | Loading 'sample.pdf' using MistralExtractor
2026-08-11 17:06:19 | INFO | app.ingestion.extractors.mistral_extractor:extract:126 | Uploading sample.pdf...
2026-08-11 17:06:21 | INFO | app.ingestion.extractors.mistral_extractor:extract:130 | Generating signed URL...
2026-08-11 17:06:21 | INFO | app.ingestion.extractors.mistral_extractor:extract:134 | Running OCR...
2026-08-11 17:06:24 | INFO | app.ingestion.extractors.mistral_extractor:_persist_json:191 | Saved OCR JSON -> data\ocr_output\sample_20260811_170624.json
2026-08-11 17:06:24 | SUCCESS | app.ingestion.loader:load:85 | Loaded 3 document(s) from 'sample.pdf'.
2026-08-11 17:06:24 | INFO | app.ingestion.splitter:split:54 | Splitting 3 document(s)...
2026-08-11 18:09:05 | SUCCESS | app.ingestion.extractors.mistral_extractor:__init__:56 | Mistral OCR initialized.
2026-08-11 18:09:05 | INFO | app.ingestion.loader:load:78 | Loading 'sample.pdf' using MistralExtractor
2026-08-11 18:09:05 | INFO | app.ingestion.extractors.mistral_extractor:extract:126 | Uploading sample.pdf...
2026-08-11 18:09:07 | INFO | app.ingestion.extractors.mistral_extractor:extract:130 | Generating signed URL...
2026-08-11 18:09:08 | INFO | app.ingestion.extractors.mistral_extractor:extract:134 | Running OCR...
2026-08-11 18:09:09 | INFO | app.ingestion.extractors.mistral_extractor:_persist_json:191 | Saved OCR JSON -> data\ocr_output\sample_20260811_180909.json
2026-08-11 18:09:09 | SUCCESS | app.ingestion.loader:load:85 | Loaded 3 document(s) from 'sample.pdf'.
2026-08-11 18:09:09 | INFO | app.ingestion.splitter:split:54 | Splitting 3 document(s)...
2026-08-11 18:09:09 | SUCCESS | app.ingestion.splitter:split:76 | Created 10 chunks from 3 document(s).
2026-08-11 18:09:09 | INFO | app.ingestion.embedder:__init__:15 | Initializing embedding model...
2026-08-11 18:09:09 | SUCCESS | app.ingestion.embedder:__init__:22 | Embedding model initialized.
2026-08-11 18:09:15 | SUCCESS | app.vectorstore.pinecone:__init__:37 | Connected to Pinecone index 'rag-index'.
2026-08-11 18:09:23 | SUCCESS | app.vectorstore.pinecone:add_documents:84 | Upserted 10 vectors to namespace 'company-policy'.
2026-08-11 18:45:12 | SUCCESS | app.ingestion.extractors.mistral_extractor:__init__:56 | Mistral OCR initialized.
2026-08-11 18:45:12 | INFO | app.ingestion.loader:load:78 | Loading 'sample.pdf' using MistralExtractor
2026-08-11 18:45:12 | INFO | app.ingestion.extractors.mistral_extractor:extract:126 | Uploading sample.pdf...
2026-08-11 18:45:13 | INFO | app.ingestion.extractors.mistral_extractor:extract:130 | Generating signed URL...
2026-08-11 18:45:13 | INFO | app.ingestion.extractors.mistral_extractor:extract:134 | Running OCR...
2026-08-11 18:45:14 | INFO | app.ingestion.extractors.mistral_extractor:_persist_json:191 | Saved OCR JSON -> data\ocr_output\sample_20260811_184514.json
2026-08-11 18:45:14 | SUCCESS | app.ingestion.loader:load:85 | Loaded 3 document(s) from 'sample.pdf'.
2026-08-11 18:45:14 | INFO | app.ingestion.splitter:split:54 | Splitting 3 document(s)...
2026-08-11 18:45:14 | SUCCESS | app.ingestion.splitter:split:76 | Created 10 chunks from 3 document(s).
2026-08-11 18:45:14 | INFO | app.ingestion.embedder:__init__:15 | Initializing embedding model...
2026-08-11 18:45:14 | SUCCESS | app.ingestion.embedder:__init__:22 | Embedding model initialized.
2026-08-11 18:45:17 | SUCCESS | app.vectorstore.pinecone:__init__:37 | Connected to Pinecone index 'company-policy'.
2026-08-11 18:52:14 | SUCCESS | app.ingestion.extractors.mistral_extractor:__init__:56 | Mistral OCR initialized.
2026-08-11 18:52:14 | INFO | app.ingestion.loader:load:78 | Loading 'sample.pdf' using MistralExtractor
2026-08-11 18:52:14 | INFO | app.ingestion.extractors.mistral_extractor:extract:126 | Uploading sample.pdf...
2026-08-11 18:52:14 | INFO | app.ingestion.extractors.mistral_extractor:extract:130 | Generating signed URL...
2026-08-11 18:52:15 | INFO | app.ingestion.extractors.mistral_extractor:extract:134 | Running OCR...
2026-08-11 18:52:15 | INFO | app.ingestion.extractors.mistral_extractor:_persist_json:191 | Saved OCR JSON -> data\ocr_output\sample_20260811_185215.json
2026-08-11 18:52:15 | SUCCESS | app.ingestion.loader:load:85 | Loaded 3 document(s) from 'sample.pdf'.
2026-08-11 18:52:15 | INFO | app.ingestion.splitter:split:54 | Splitting 3 document(s)...
2026-08-11 18:52:15 | SUCCESS | app.ingestion.splitter:split:76 | Created 10 chunks from 3 document(s).
2026-08-11 18:52:15 | INFO | app.ingestion.embedder:__init__:15 | Initializing embedding model...
2026-08-11 18:52:16 | SUCCESS | app.ingestion.embedder:__init__:22 | Embedding model initialized.
2026-08-11 18:52:18 | SUCCESS | app.vectorstore.pinecone:__init__:37 | Connected to Pinecone index 'company-policy'.
2026-08-11 18:52:25 | SUCCESS | app.vectorstore.pinecone:add_documents:84 | Upserted 10 vectors to namespace 'company-policy'.
2026-08-12 15:47:27 | INFO | app.ingestion.embedder:__init__:16 | Initializing embedding model...
2026-08-12 15:47:27 | SUCCESS | app.ingestion.embedder:__init__:23 | Embedding model initialized.
2026-08-12 15:47:32 | SUCCESS | app.vectorstore.pinecone:__init__:37 | Connected to Pinecone index 'company-policy'.
2026-08-12 15:47:32 | SUCCESS | app.compliance.retriever:__init__:48 | Compliance retriever initialized.
2026-08-12 15:47:32 | INFO | app.compliance.retriever:retrieve:89 | Retrieving policy evidence | top_k=5 | query='Does the policy state how long identifiable personal information is retained and link retention periods to the purposes '
2026-08-12 15:47:34 | INFO | app.compliance.retriever:retrieve:150 | Retrieved 5 usable evidence chunks.
2026-08-12 16:06:50 | INFO | app.ingestion.embedder:__init__:16 | Initializing embedding model...
2026-08-12 16:06:50 | SUCCESS | app.ingestion.embedder:__init__:23 | Embedding model initialized.
2026-08-12 16:06:53 | SUCCESS | app.vectorstore.pinecone:__init__:37 | Connected to Pinecone index 'company-policy'.
2026-08-12 16:06:55 | SUCCESS | app.ingestion.extractors.mistral_extractor:__init__:56 | Mistral OCR initialized.
2026-08-12 16:06:55 | INFO | app.ingestion.embedder:__init__:16 | Initializing embedding model...
2026-08-12 16:06:55 | SUCCESS | app.ingestion.embedder:__init__:23 | Embedding model initialized.
2026-08-12 16:06:56 | SUCCESS | app.vectorstore.pinecone:__init__:37 | Connected to Pinecone index 'company-policy'.
2026-08-12 16:06:56 | INFO | app.ingestion.pipeline:ingest:32 | Starting ingestion of 1 file(s).
2026-08-12 16:06:56 | INFO | app.ingestion.pipeline:ingest:40 | Processing 'SampleInput_CompanyPolicy.pdf'
2026-08-12 16:06:56 | INFO | app.ingestion.loader:load:79 | Loading 'SampleInput_CompanyPolicy.pdf' using MistralExtractor
2026-08-12 16:06:56 | INFO | app.ingestion.extractors.mistral_extractor:extract:126 | Uploading SampleInput_CompanyPolicy.pdf...
2026-08-12 16:06:57 | INFO | app.ingestion.extractors.mistral_extractor:extract:130 | Generating signed URL...
2026-08-12 16:06:58 | INFO | app.ingestion.extractors.mistral_extractor:extract:134 | Running OCR...
2026-08-12 16:07:00 | INFO | app.ingestion.extractors.mistral_extractor:_persist_json:191 | Saved OCR JSON -> data\ocr_output\SampleInput_CompanyPolicy_20260812_160700.json
2026-08-12 16:07:00 | SUCCESS | app.ingestion.loader:load:86 | Loaded 7 document(s) from 'SampleInput_CompanyPolicy.pdf'.
2026-08-12 16:07:00 | INFO | app.ingestion.pipeline:ingest:64 | Assigned document_id=af61f936-5744-4623-abce-823273137c0d to 'SampleInput_CompanyPolicy.pdf'
2026-08-12 16:07:00 | INFO | app.ingestion.splitter:split:55 | Splitting 7 document(s)...
2026-08-12 16:07:00 | SUCCESS | app.ingestion.splitter:split:77 | Created 14 chunks from 7 document(s).
2026-08-12 16:07:06 | SUCCESS | app.vectorstore.pinecone:add_documents:84 | Upserted 14 vectors to namespace 'company-policy'.
2026-08-12 16:07:06 | SUCCESS | app.ingestion.pipeline:ingest:79 | Ingestion completed. Files=1 Documents=7 Chunks=14
2026-08-12 16:07:22 | INFO | app.ingestion.embedder:__init__:16 | Initializing embedding model...
2026-08-12 16:07:22 | SUCCESS | app.ingestion.embedder:__init__:23 | Embedding model initialized.
2026-08-12 16:07:24 | SUCCESS | app.vectorstore.pinecone:__init__:37 | Connected to Pinecone index 'company-policy'.
2026-08-12 16:07:24 | SUCCESS | app.compliance.retriever:__init__:48 | Compliance retriever initialized.
2026-08-12 16:07:24 | INFO | app.compliance.retriever:retrieve:89 | Retrieving policy evidence | top_k=5 | query='Does the policy state how long identifiable personal information is retained and link retention periods to the purposes '
2026-08-12 16:07:26 | INFO | app.compliance.retriever:retrieve:150 | Retrieved 5 usable evidence chunks.
2026-08-12 16:28:52 | INFO | app.ingestion.embedder:__init__:16 | Initializing embedding model...
2026-08-12 16:28:52 | SUCCESS | app.ingestion.embedder:__init__:23 | Embedding model initialized.
2026-08-12 16:28:57 | SUCCESS | app.vectorstore.pinecone:__init__:37 | Connected to Pinecone index 'company-policy'.
2026-08-12 16:28:57 | SUCCESS | app.compliance.retriever:__init__:48 | Compliance retriever initialized.
2026-08-12 16:28:57 | INFO | app.compliance.retriever:retrieve:89 | Retrieving policy evidence | top_k=5 | query='Does the policy state how long identifiable personal information is retained and link retention periods to the purposes '
2026-08-12 16:28:59 | INFO | app.compliance.retriever:retrieve:150 | Retrieved 5 usable evidence chunks.
2026-08-12 16:50:50 | INFO | app.ingestion.embedder:__init__:16 | Initializing embedding model...
2026-08-12 16:50:50 | SUCCESS | app.ingestion.embedder:__init__:23 | Embedding model initialized.
2026-08-12 16:50:54 | SUCCESS | app.vectorstore.pinecone:__init__:37 | Connected to Pinecone index 'company-policy'.
2026-08-12 16:50:54 | SUCCESS | app.compliance.retriever:__init__:46 | Compliance retriever initialized.
2026-08-12 16:50:54 | INFO | app.compliance.retriever:retrieve:87 | Retrieving policy evidence | top_k=5 | query='Does the policy state how long identifiable personal information is retained and link retention periods to the purposes '
2026-08-12 16:50:56 | INFO | app.compliance.retriever:retrieve:182 | Retrieved 5 usable evidence chunks.
2026-08-12 17:31:28 | INFO | app.ingestion.embedder:__init__:16 | Initializing embedding model...
2026-08-12 17:31:28 | SUCCESS | app.ingestion.embedder:__init__:23 | Embedding model initialized.
2026-08-12 17:31:33 | SUCCESS | app.vectorstore.pinecone:__init__:37 | Connected to Pinecone index 'company-policy'.
2026-08-12 17:31:33 | SUCCESS | app.compliance.retriever:__init__:46 | Compliance retriever initialized.
2026-08-12 17:31:33 | SUCCESS | app.compliance.group_retriever:__init__:96 | Compliance group retriever initialized.
2026-08-12 17:31:33 | INFO | app.compliance.group_retriever:get_groups:145 | Article 5: found 7 compliance groups.
2026-08-12 17:31:33 | INFO | app.compliance.group_retriever:get_groups:145 | Article 5: found 7 compliance groups.
2026-08-12 17:31:33 | INFO | app.compliance.group_retriever:get_groups:145 | Article 5: found 7 compliance groups.
2026-08-12 17:31:33 | INFO | app.compliance.group_retriever:retrieve_group:261 | Retrieving group evidence | article=5 | group=5.1.f | obligations=4
2026-08-12 17:31:33 | INFO | app.compliance.retriever:retrieve:87 | Retrieving policy evidence | top_k=5 | query='GDPR Article 5, requirement group 5.1.f.
Find company privacy policy evidence relevant to the following requirements:

R'
2026-08-12 17:31:35 | INFO | app.compliance.retriever:retrieve:182 | Retrieved 5 usable evidence chunks.
2026-08-12 17:31:35 | INFO | app.compliance.group_retriever:retrieve_group:274 | Group 5.1.f: retrieved 5 evidence chunks.
